12422	@USER @USER You are an embarrassing citizen!!	OFF	TIN	IND
56760	@USER Seems hard to believe that you stood next to a guy wearing those shorts and didn't masturbate but I'll take your word for it	OFF	TIN	IND
61023	@USER @USER @USER Wow !!! no wonder the Liberals only got worse as a party of bullies to women...??? no accountability.	OFF	TIN	OTH
53665	@USER @USER And not all idiots grandstands like he did	OFF	TIN	IND
31493	@USER Bring on the hypocrite gungrabber. MAGA	OFF	TIN	IND
40399	@USER bitch call me.	OFF	TIN	IND
47171	@USER The only thing i didn’t agree with was the match point he was following the rules i think this was more about her sex honestly all she did was call him a thief and he penalized her shit was wack	OFF	TIN	IND
58552	@USER I second this they’re fucking nuts	OFF	TIN	GRP
47033	@USER Eric Holder a major embarrassment  to law enforcement. @USER you did nothing about those innocent black males killed in those streets. One sorry black brother.	OFF	TIN	IND
20136	@USER @USER because the average American has $500 lying around to buy a new Glock. more likely Mr. Antifa will be using his unemployment check to purchase some dental work or a casket.	OFF	TIN	IND
73710	@USER @USER Liberals don’t realize that thousands of unaccompanied minors were thrown across the border..... who is supposed to take care of them? Angelina Jolie?	OFF	TIN	GRP
47238	@USER You are turd 💞	OFF	TIN	IND
86920	"@USER @USER @USER @USER Fascists &amp;Nazis don't abide by patriotic views shared in their presence. Glad the brownshirt arm (AntiFa) of the left wasn't there to inflict the usual violence vs citizens who dare to speak. Do you hear that, Dems who enjoy wings/beer/country music? You're less-than."" #WalkAway"""	OFF	TIN	GRP
22715	@USER BITCH I FUCKING FELT THAT SHIT🤧💀	OFF	TIN	IND
76555	@USER I told you to stop eating my booty that day but nooooo	OFF	TIN	IND
52554	@USER He should be given 5000 volts!	OFF	TIN	IND
47883	@USER @USER @USER @USER @USER I know you are not being facetious.  You are incapable of understanding contradictions.	OFF	TIN	IND
85014	@USER Why cant ISIS blow up these two assholes??	OFF	TIN	OTH
19311	@USER John kerry is a loser and a traitor to our country. He doesnt understand that we voted his party out bec we hated the iran deal. He is now working for iran against our gov. At worst he is acting as an agent for a foreign government &amp; if he isn’t registered should be investigated	OFF	TIN	IND
99844	@USER @USER Donald trump said Mr Cruz is a lying dog you can't trust him or his wife said his father was involved with shooting president the president in Texas in Dallas America can't trust him he is a lier then how can he stand up for him down there in Texas campaing	OFF	TIN	IND
84816	@USER @USER You will be sadly disappointed as they conservatives are also marxists...they now control a police state.........ONLY UKIP WILL SET THE COUNTRY FREE	OFF	UNT	NULL
55174	@USER @USER He is Satan	OFF	TIN	IND
